ID,Reel,Name,File Name,Track,Timecode In,Timecode Out,Duration,Source Start,Source End,Audio Channels,Comment
"60","UNNAMED","TL_REINIER_RIJKEN_26-07-1997ACTNOVA______-HRE00032047_80306000_80818960.MXF","TL_REINIER_RIJKEN_26-07-1997ACTNOVA______-HRE00032047_80306000_80818960.MXF","V1","00:02:22:06","00:02:24:16","00:00:02:10","22:26:20:22","22:26:23:07","","AVX2 EFFECT, 3DWARP"
"61","UNNAMED","TL_REINIER_RIJKEN_26-07-1997ACTNOVA______-HRE00032047_80306000_80818960.MXF","TL_REINIER_RIJKEN_26-07-1997ACTNOVA______-HRE00032047_80306000_80818960.MXF","V1","00:02:24:16","00:02:25:23","00:00:01:07","22:26:47:23","22:26:49:05","","AVX2 EFFECT, 3DWARP"
"62","UNNAMED","TL_REINIER_RIJKEN_26-07-1997ACTNOVA______-HRE00032047_80306000_80818960.MXF","TL_REINIER_RIJKEN_26-07-1997ACTNOVA______-HRE00032047_80306000_80818960.MXF","V1","00:02:25:23","00:02:33:17","00:00:07:19","22:20:36:15","22:20:44:09","","AVX2 EFFECT, 3DWARP"
"63","UNNAMED","599_4662.MXF.SYNC.01","","V1","00:02:33:17","00:02:42:03","00:00:08:11","16:57:04:05","16:57:12:16","","IMAGE, FRAMEFLEX"
"64","UNNAMED","TL_REINIER_BERMUDA_JANBELASTINGMAN_14-09-2017.MP4","TL_REINIER_BERMUDA_JANBELASTINGMAN_14-09-2017.MP4","V1","00:02:42:03","00:02:44:01","00:00:01:23","00:00:47:08","00:00:49:06","",""
"65","UNNAMED","TL_REINIER_BERMUDA_JANBELASTINGMAN_14-09-2017.MP4","TL_REINIER_BERMUDA_JANBELASTINGMAN_14-09-2017.MP4","V1","00:02:44:01","00:02:45:16","00:00:01:15","00:30:49:18","00:30:51:08","",""
"66","UNNAMED","TL_REINIER_BERMUDA_JANBELASTINGMAN_14-09-2017.MP4","TL_REINIER_BERMUDA_JANBELASTINGMAN_14-09-2017.MP4","V1","00:02:45:16","00:02:48:02","00:00:02:11","00:31:03:15","00:31:06:01","",""
"67","UNNAMED","TL_REINIER_BERMUDA_JANBELASTINGMAN_14-09-2017.MP4","TL_REINIER_BERMUDA_JANBELASTINGMAN_14-09-2017.MP4","V1","00:02:48:02","00:02:52:01","00:00:03:24","00:00:38:01","00:00:42:00","",""
"68","UNNAMED","TL_REINIER_BERMUDA_JANBELASTINGMAN_14-09-2017.MP4","TL_REINIER_BERMUDA_JANBELASTINGMAN_14-09-2017.MP4","V1","00:02:52:01","00:02:54:02","00:00:02:01","00:30:51:22","00:30:53:23","",""
"69","UNNAMED","599_4662.MXF.SYNC.01","","V1","00:02:54:02","00:02:58:09","00:00:04:07","17:22:41:23","17:22:46:05","","IMAGE, FRAMEFLEX"
"70","UNNAMED","TL_REINIER_VERMOGEN_152507479-1920-WEALTHY-BANKERS-AND-ARIST.MP4","TL_REINIER_VERMOGEN_152507479-1920-WEALTHY-BANKERS-AND-ARIST.MP4","V1","00:02:58:09","00:03:09:23","00:00:11:14","00:00:09:16","00:00:21:05","",""
"71","UNNAMED","599_4662.MXF.SYNC.01","","V1","00:03:09:23","00:03:15:04","00:00:05:06","17:30:30:05","17:30:35:11","","IMAGE, FRAMEFLEX"
